"label","abbpop","Year","date","sex","svl","tot","mass","headlength","headwidth","GreenResolved","reg","reglength","blackness","BlueResolved","relhl"
"BE03","BE",2016,2016-04-15,"M",62,160,6.89,16,7.7,6,1,80,0.0795493934142114,14.498,0.258064516129032
"BE04","BE",2016,2016-04-15,"F",64,181,6.1,13.1,6.3,2,0,NA,0.153528662420382,0,0.2046875
"BE05","BE",2016,2016-04-15,"M",52,145,3.73,12.8,6.3,2,1,52,0.0674164208456244,2.712,0.246153846153846
"BE06","BE",2016,2016-04-15,"F",58,123,4.27,12.6,5.9,2,1,57,0.22439893143366,0,0.217241379310345
"BE07","BE",2016,2016-04-15,"M",60,80,4.89,15.6,7.4,2,1,0,0.418766992431479,14.208,0.26
"BE08","BE",2016,2016-04-15,"M",61,84,5.72,15.7,7.3,2,1,0,0.502612972640639,10.799,0.257377049180328
"BE09","BE",2016,2016-04-15,"M",61,189,5.71,16,7.3,3,0,NA,0.273755186721992,8.346,0.262295081967213
"BE10","BE",2016,2016-04-15,"M",61,201,5.81,15.8,7.7,6,0,NA,0.273329702251271,3.408,0.259016393442623
"BE11","BE",2016,2016-04-15,"F",55,135,4,11.8,5.4,2,1,55,0.0563301282051282,0,0.214545454545455
"BE12","BE",2016,2016-04-15,"F",60,149,4.82,13,6.4,1,1,60,0.0564195073401344,0,0.216666666666667
"BE13","BE",2016,2016-04-15,"M",59,186,6.51,15.4,7.1,6,0,NA,0.435002060156572,2.754,0.261016949152542
"BE14","BE",2016,2016-04-15,"F",61,130,5.3,12.9,6.4,2,1,57,0.227356210729821,0,0.211475409836066
"BE15","BE",2016,2016-04-15,"M",61,86,5.19,15.8,8.4,2,1,15,0.410275044722719,15.87,0.259016393442623
"BE16","BE",2016,2016-04-15,"M",62,192,6.11,15.5,7.9,2,0,NA,0.36075822746824,6.41,0.25
"BE17","BE",2016,2016-04-15,"M",61,188,6.61,15.9,8,4,1,54,0.364979112790929,11.83,0.260655737704918
"BE18","BE",2016,2016-04-15,"F",56,162,4.88,12,6.2,1,1,59,0.175228232729255,0.04,0.214285714285714
"BE19","BE",2016,2016-04-15,"M",63,175,6.86,17.8,8,2,1,78,0.565825320512821,8.43,0.282539682539683
"BE20","BE",2016,2016-04-15,"M",58,190,5.82,14.4,7.5,2,0,NA,0.0408613656122517,4.26,0.248275862068966
"BE21","BE",2016,2016-04-15,"M",53,164,4,13.5,6.6,2,0,NA,0.287342573700134,8.23,0.254716981132075
"BE22","BE",2016,2016-04-15,"F",52,149,3.54,11.2,5.4,1,0,NA,0.000848484848484849,0,0.215384615384615
"BE23","BE",2016,2016-04-15,"F",60,139,5.65,13,6.4,1,1,65,0.0976449275362319,0,0.216666666666667
"BE24","BE",2016,2016-04-15,"F",55,154,3.89,11.4,5.6,3,0,NA,0.0623615725359911,1.03,0.207272727272727
"BE25","BE",2016,2016-04-15,"M",61,183,6.22,15.7,7.4,5,0,NA,0.378712625409755,6.35,0.257377049180328
"BE26","BE",2016,2016-04-15,"M",62,180,5.52,15.7,8,4,1,65,0.514605994395098,8.72,0.253225806451613
"BF01","BF",2014,2014-04-16,"F",62,126,6.3,12.8,6.1,1,1,52,0.03,3.63,0.206451612903226
"BF02","BF",2014,2014-04-16,"M",63,129,6.78,15.8,8,1,1,81,0.36,11.69,0.250793650793651
"BF03","BF",2014,2014-04-16,"F",59,127,4.32,12.1,6,1,1,60,0,2.41,0.205084745762712
"BF04","BF",2014,2014-04-16,"M",62,201,6.51,15.6,7.8,2,0,NA,0.18,8.98,0.251612903225806
"BF05","BF",2014,2014-04-16,"M",64,181,6.5,15.5,7.8,1,1,72,0.29,8.73,0.2421875
"BF06","BF",2014,2014-04-16,"F",61,144,5.64,12.6,6.5,1,1,67,0.14,0,0.20655737704918
"BF07","BF",2014,2014-04-16,"M",61,145,5.8,15.4,7.7,1,1,21,0.29,7.01,0.252459016393443
"BF08","BF",2014,2014-04-16,"F",57,166,4.32,11.7,5.9,1,0,NA,0,2.7,0.205263157894737
"BF09","BF",2014,2014-04-16,"F",60,146,4.61,12.3,5.9,2,1,65,0.09,3.82,0.205
"BF10","BF",2014,2014-04-16,"M",66,176,6.07,17.5,8.5,1,1,72,0.09,5.11,0.265151515151515
"BF11","BF",2014,2014-04-16,"F",53,94,3.29,11.6,5.5,1,1,0,0.02,1.4,0.218867924528302
"BF12","BF",2014,2014-04-16,"F",59,144,3.3,12.2,6.2,1,1,73,0.21,0.8,0.206779661016949
"BF13","BF",2014,2014-04-16,"M",66,183,7.28,16.4,7.5,4,1,80,0.16,13.58,0.248484848484848
"BF14","BF",2014,2014-04-16,"M",59,206,6.76,16.2,7.5,1,0,NA,0.43,13.15,0.274576271186441
"BF15","BF",2014,2014-04-16,"F",61,77,4.2,12.4,5.9,1,1,7,0.06,1.41,0.20327868852459
"BF16","BF",2014,2014-04-16,"F",60,145,4.95,12.7,6.5,1,1,68,0.11,0,0.211666666666667
"BF17","BF",2014,2014-04-16,"M",59,190,5.6,15,7.5,2,0,NA,0.16,8.93,0.254237288135593
"BF18","BF",2014,2014-04-16,"M",62,157,5.45,15.3,6.9,2,1,72,0.23,18.811,0.246774193548387
"BF19","BF",2014,2014-04-16,"F",60,184,5.34,12.5,6.1,1,0,NA,0.04,0,0.208333333333333
"BF20","BF",2014,2014-04-16,"M",51,136,5.8,15.1,7.3,2,1,2,0.19,7.53,0.296078431372549
"BF21","BF",2014,2014-04-16,"F",57,136,4.14,12.2,5.9,1,1,59,0.14,1.41,0.214035087719298
"BF22","BF",2014,2014-04-16,"F",50,138,2.68,11.1,5.4,1,1,46,0,1.38,0.222
"BF23","BF",2014,2014-04-16,"F",65,195,5.35,13.2,6.3,1,0,NA,0.2,1.12,0.203076923076923
