baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
759.4746311,-0.683858047,0.201871871,-3.387584626,0.00070511,0.039396305,ABCF2
47.54140388,-1.185364987,0.312376912,-3.794662609,0.000147844,0.013833196,LOC114607697
8104.380224,-0.65484747,0.159780122,-4.098428903,4.16E-05,0.005286157,AQP1
1075.754062,0.54607372,0.138956923,3.929805793,8.50E-05,0.009280204,PLCD1
119.6118769,-1.23137371,0.341452254,-3.606283736,0.000310613,0.022799299,PTPRN2
2056.784391,0.447706762,0.115075186,3.890558666,0.000100014,0.010384958,PARD3
351.7033151,1.033562391,0.282534836,3.658176837,0.000254016,0.019661975,MAP3K8
944.6635804,-5.748377016,1.478981653,-3.886712864,0.000101611,0.010486853,LOC114607716
1494.638517,-2.200989887,0.484737255,-4.540583305,5.61E-06,0.001085576,LOC114607780
630.8685065,-0.84289215,0.169511312,-4.972483204,6.61E-07,0.00017055,CDK14
11189.41369,-1.331611056,0.340879017,-3.906403709,9.37E-05,0.009970474,COL1A2
101.9863157,-2.546974698,0.578423041,-4.403307818,1.07E-05,0.001871658,DGKB
242.468195,-0.709226982,0.205966571,-3.443408214,0.000574432,0.033847733,HOXA2
2061.728052,0.537204137,0.159993177,3.357669035,0.000786027,0.041864566,ABHD5
466.6567917,-0.644825518,0.169062409,-3.814127104,0.000136665,0.013223127,MTURN
6306.860165,0.533218365,0.157845358,3.378106098,0.000729869,0.040121219,GLTP
5419.83581,0.400264312,0.11726777,3.413250826,0.000641928,0.036682541,MVK
1299.501149,0.541111869,0.161955766,3.341109004,0.000834445,0.043265804,MMAB
1478.951669,-0.40807914,0.088725846,-4.599326547,4.24E-06,0.000914048,SLC20A2
337.9161769,-1.797388795,0.299545498,-6.000386608,1.97E-09,1.05E-06,CSGALNACT1
780.9658901,-0.649013756,0.129891951,-4.996566394,5.84E-07,0.000155283,TUBG1
699.5848568,-0.631033852,0.177786481,-3.549391651,0.000386122,0.026620555,FZD2
1834.337355,-0.593150305,0.157639353,-3.762704504,0.000168086,0.015225173,FKBP10
9477.786723,-1.682936556,0.458749801,-3.668528141,0.000243951,0.019290513,COL1A1
456.0730362,-1.670500226,0.363350968,-4.597483901,4.28E-06,0.000914048,SRCIN1
3074.934484,0.649310111,0.184758936,3.514363773,0.000440809,0.029095083,ORMDL3
66.17141432,-2.455588477,0.606929845,-4.045918152,5.21E-05,0.006318833,LOC114582474
9474.701276,0.93923412,0.260041666,3.611860106,0.000304009,0.02260682,LOC114581579
29.26090125,-4.263023572,0.771444176,-5.526029887,3.28E-08,1.43E-05,MMP25
214.1844081,-0.688683578,0.20579261,-3.346493244,0.000818407,0.043014347,LOC114583705
603.810206,1.318451022,0.352495888,3.740330224,0.000183779,0.016049059,PRSS8
51.79563831,-1.075477939,0.287390067,-3.742223764,0.000182399,0.016049059,LOC114582826
